uniquekey,complainttype,zipcode,address,streetname,street1,street2,intersectionstreet1,intersectionstreet2,addresstype,city,priority,status,lastupdated,borough,xcoordinate,ycoordinate,latitude,longitude,location
16077845,Transformer ,11214,143 BAY   31 STREET,BAY   31 STREET,BENSON AVE,BATH AVE,,,ADDRESS,BROOKLYN,High,Closed,3/2/10 12:30,BROOKLYN,985376,157389,40.59867264,-73.9959453,"(40.59867263793507, -73.99594529768392)"
20864244,Gas Pipeline Broken,11223,,,HIGHLAWN AVE,W 5 ST,HIGHLAWN AVENUE,WEST 5 STREET,INTERSECTION,BROOKLYN,Low,Closed,3/8/16 18:10,BROOKLYN,990407,159180,40.6035865,-73.97782714,"(40.60358650216692, -73.97782714048334)"
24016202,Gas Leak,11204,6101 18 AVENUE,18 AVENUE,61 ST,62 ST,,,ADDRESS,BROOKLYN,Medium,Closed,9/13/12 2:15,BROOKLYN,987602,165649,40.62134408,-73.98792542,"(40.62134407896255, -73.98792541858698)"
24087883,Transformer,11214,1935 85 STREET,85 STREET,19 AVE,20 AVE,,,ADDRESS,BROOKLYN,High,Closed,7/29/16 3:00,BROOKLYN,984539,160067,40.60602327,-73.9989592,"(40.60602327042359, -73.99895920249851)"
15668243,Manhole Inspection,11214,1824 SHORE PARKWAY,SHORE PARKWAY,25 AVE,BAY 41 ST,,,ADDRESS,BROOKLYN,Medium,Closed,1/21/10 13:30,BROOKLYN,985775,154710,40.59131926,-73.99450911,"(40.591319262533204, -73.99450911178735)"
15668392,Transformer,11223,,,AVENUE U,W 12 ST,AVENUE U,WEST 12 STREET,INTERSECTION,BROOKLYN,Low,Closed,4/16/10 12:15,BROOKLYN,988932,156374,40.5958855,-73.98314092,"(40.59588550271507, -73.98314092012072)"
15831629,Transformer ,11214,,,18 AVE,82 ST,18 AVENUE,82 STREET,INTERSECTION,BROOKLYN,Medium,Closed,10/12/12 2:45,BROOKLYN,984244,161292,40.60938565,-74.00002161,"(40.609385649351594, -74.00002160934095)"
15840238,Gas Pipeline Broken,11204,6802 19 AVENUE,19 AVENUE,68 ST,BAY RIDGE AVE,,,ADDRESS,BROOKLYN,High,Closed,1/29/10 10:40,BROOKLYN,987039,163717,40.61604134,-73.98995426,"(40.61604133558015, -73.98995425646294)"
34374882,Gas Leak,11214,190 82 STREET,82 STREET,19 AVENUE,20 AVENUE,,,BLOCKFACE,BROOKLYN,Medium,Open,,BROOKLYN,985087,160623,40.60754934,-73.99698558,"(40.60754934192279, -73.99698557985378)"
15920037,Transformer,11214,,,BAY 17 ST,CROPSEY AVE,BAY 17 STREET,CROPSEY AVENUE,INTERSECTION,BROOKLYN,Low,Closed,3/26/10 9:50,BROOKLYN,981961,158986,40.60305585,-74.00824318,"(40.6030558548839, -74.0082431820009)"
